prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
48697,1.75344110000e+16,37485020,14101,Blephasol lotion (Thea Pharmaceuticals Ltd),,,Liquid,Cutaneous,Miscellaneous Ophthalmic Preparations,January 2013,37485020,,,,,,,,,0,11080000
74545,3.58377110000e+16,82448021,19,Lumecare eyelid wipes (Medicom Healthcare Ltd),,,Impregnated dressing,Cutaneous,Miscellaneous Ophthalmic Preparations,January 2019,82448021,,,,,,,,,0,11080000
68363,2.16313110000e+16,46663020,8,Polihexanide 0.02% eye drops preservative free,Polihexanide,200microgram/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,December 2016,46663020,,,,,,,,,0,11080000
63583,2.84880110000e+16,46552021,81,Xailin Wash eye drops 5ml unit dose preservative free (Visufarma UK Ltd),,,,,Miscellaneous Ophthalmic Preparations,July 2015,46552021,,,,,,,,,0,11080000
65802,1.51407110000e+16,35996020,28,Restasis 0.05% eye drops 0.4ml unit dose (Imported (United States)),Ciclosporin,500microgram/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations/Miscellaneous Specials,March 2016,35996020,,,,,,,,,1,11080000
38525,1.58798110000e+16,95005020,57,Ciclosporin 2% eye ointment,Ciclosporin,20mg/1gram,Eye ointment,Ocular,Miscellaneous Ophthalmic Preparations/Miscellaneous Specials,February 2009,16113001,,,,,,,,,1,11080000
73978,3.46071110000e+16,77366021,2,Mercaptamine 3.8mg/ml eye drops,Mercaptamine hydrochloride,3.8mg/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,December 2018,77366021,,,,,,,,,0,11080000
76969,2.04690110000e+16,41772020,7,Zinc sulfate 0.25% / Adrenaline (base) 0.05% eye drops,Adrenaline acid tartrate/Zinc sulfate,900microgram/1ml + 2.5mg/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,July 2019,41772020,,,,,,,,,0,11080000
10439,4058211000001105,81891020,1339,Murine irritation & redness relief 0.012% eye drops (Prestige Brands (UK) Ltd),Naphazoline hydrochloride,120microgram/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,February 2009,9765001,,,,,,,,,0,11080000
48500,1.86018110000e+16,37939020,201,Optrex Multi Action eye wash (Reckitt Benckiser Healthcare (UK) Ltd),,,,,Miscellaneous Ophthalmic Preparations,January 2013,37939020,,,,,,,,,0,11080000
19222,9404811000001100,87866020,1153,Ciclosporin 2% eye drops preservative free,Ciclosporin,20mg/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations/Miscellaneous Specials,February 2009,12507001,,,,,,,,,1,11080000
60380,347121000,44438020,1,Disodium edetate 0.37% eye drops,Disodium edetate,3.7mg/1gram,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,July 2014,44438020,,,,,,,,,0,11080000
27268,347186008,81889020,563,Naphazoline 0.012% eye drops,Naphazoline hydrochloride,120microgram/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,February 2009,9764001,,,,,,,,,0,11080000
59855,2.11478110000e+16,44217020,17,Ciclosporin 0.06% eye drops preservative free,Ciclosporin,600microgram/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations/Miscellaneous Specials,May 2014,44217020,,,,,,,,,1,11080000
64511,2.99508110000e+16,53174021,3431,Ikervis 0.1% eye drops 0.3ml unit dose (Santen UK Ltd),Ciclosporin,1mg/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,October 2015,53174021,,,,,,,,,0,11080000
53969,9404711000001108,21468020,7,Ciclosporin 2% eye drops,Ciclosporin,20mg/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations/Miscellaneous Specials,March 2013,21468020,,,,,,,,,1,11080000
55021,2.15147110000e+16,46229020,151,Ciclosporin 0.2% eye ointment preservative free,Ciclosporin,2mg/1ml,Eye ointment,Ocular,Miscellaneous Ophthalmic Preparations/Miscellaneous Specials,May 2013,46229020,,,,,,,,,1,11080000
39787,9404611000001104,92259020,1808,Ciclosporin 0.2% eye ointment,Ciclosporin,2mg/1gram,Eye ointment,Ocular,Miscellaneous Ophthalmic Preparations/Miscellaneous Specials,July 2009,14726001,,,,,,,,,1,11080000
75623,3.58403110000e+16,82463021,51,Verkazia 0.1% eye drops 0.3ml unit dose (Santen UK Ltd),Ciclosporin,1mg/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,April 2019,82463021,,,,,,,,,0,11080000
64652,2.99510110000e+16,53173021,1867,Ciclosporin 0.1% eye drops 0.3ml unit dose,Ciclosporin,1mg/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,November 2015,53173021,,,,,,,,,0,11080000
71285,3.45925110000e+16,77367021,34,Cystadrops 3.8mg/ml eye drops (Recordati Rare Diseases UK Ltd),Mercaptamine hydrochloride,3.8mg/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,January 2018,77367021,,,,,,,,,0,11080000
56415,2.10668110000e+16,44443020,48,Hypersal 5% eye drops (Ennogen Healthcare Ltd),Sodium chloride,50mg/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,August 2013,44443020,,,,,,,,,0,11080000
49252,1.51480110000e+16,35995020,516,Ciclosporin 0.05% eye drops 0.4ml unit dose preservative free,Ciclosporin,500microgram/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations/Miscellaneous Specials,January 2013,35995020,,,,,,,,,1,11080000
78742,3.48128110000e+16,78626021,1,Cenegermin 20micrograms/ml eye drops preservative free,Cenegermin,20microgram/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,November 2019,78626021,,,,,,,,,0,11080000
79968,3.31983110000e+16,70547021,2,Cacicol eye drops 0.33ml unit dose preservative free (Thea Pharmaceuticals Ltd),,,,,Miscellaneous Ophthalmic Preparations,February 2020,70547021,,,,,,,,,0,11080000
77521,2.04559110000e+16,41742020,3,Polihexanide 0.02% eye drops,Polihexanide,200microgram/1ml,Eye drops,Ocular,Miscellaneous Ophthalmic Preparations,August 2019,41742020,,,,,,,,,0,11080000
