prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
19436,8008011000001105,82469020,290,Pickles 50% ointment (Optima Consumer Health Ltd),Salicylic acid,500mg/1gram,Ointment,Cutaneous,Preparations For Warts And Calluses,February 2009,10020001,,,,,,,,,0,13070000
450,3603811000001103,49122020,31407,Duofilm paint (GlaxoSmithKline UK Ltd),Salicylic acid/Lactic acid,167mg/1gram + 167mg/1gram,Paint,Cutaneous,Preparations For Warts And Calluses,February 2009,280001,,,,,,,,,0,13070000
57305,2.24150110000e+16,16535021,2713,MolluDab 5% solution (Alliance Pharmaceuticals Ltd),,,,,Preparations For Warts And Calluses,September 2013,16535021,,,,,,,,,0,13070000
78001,2.97310110000e+16,52117021,8,Salicylic acid 1% / Lactic acid 2% in Unguentum M cream (Special Order),Salicylic acid/Lactic acid,10mg/1gram + 20mg/1gram,Cream,Cutaneous,Preparations For Warts And Calluses,September 2019,52117021,,,,,,,,,0,13070000
42513,1.35995001000e+17,65911020,6,Podophyllum resin 15% paint,Podophyllum Resin,15%,Paint,Topical,Preparations For Warts And Calluses,June 2010,4514001,,,,,,,,,0,13070000
6562,1.07405001000e+17,62089020,383,Formaldehyde 3% lotion,Formaldehyde,3%,Lotion,Topical,Preparations For Warts And Calluses,February 2009,3510002,,,,,,,,,0,13070000
79393,3.06550010000e+16,51824020,13,Salicylic acid Ointment (Adams Healthcare),Salicylic acid,20mg/1gram,Ointment,Cutaneous,Preparations For Psoriasis/Preparations For Warts And Calluses,December 2019,923009,,,,,,,,,1,13070000
2172,1.46120110000e+16,56032020,7803,Salicylic acid 12% collodion,Salicylic acid,120mg/1ml,Collodion,Cutaneous,Preparations For Warts And Calluses,February 2009,2016001,,,,,,,,,0,13070000
1678,86511000001108,74915020,68304,Occlusal 26% solution (Alliance Pharmaceuticals Ltd),Salicylic acid,260mg/1ml,Liquid,Cutaneous,Preparations For Warts And Calluses,February 2009,7079001,,,,,,,,,0,13070000
25267,2.54025001000e+17,95696020,114,Cryogesic ethyl chloride fine spray Spray (Acorus Therapeutics Ltd),Ethyl Chloride,,Spray,,Topical Local Anaesthetics And Antipruritics/Preparations For Warts And Calluses,February 2009,16460005,,,,,,,,,1,13070000
38977,3886111000001108,95943020,4616,Bazuka Extra Strength 26% gel (Dendron Ltd),Salicylic acid,260mg/1gram,Gel,Cutaneous,Preparations For Warts And Calluses,February 2009,16584001,,,,,,,,,0,13070000
