prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
16186,9310611000001104,89255020,2653,Inegy 10mg/80mg tablets (Merck Sharp & Dohme Ltd),Ezetimibe/Simvastatin,10mg + 80mg,Tablet,Oral,Ezetimibe/Statins,February 2009,13208001,,,,,,,,,1,2120200
21020,9309911000001100,89244020,8801,Inegy 10mg/20mg tablets (Merck Sharp & Dohme Ltd),Simvastatin/Ezetimibe,20mg + 10mg,Tablet,Oral,Ezetimibe/Statins,February 2009,13202001,,,,,,,,,1,2120200
72883,3.51823110000e+16,80020021,14,PKU sphere15 oral powder 27g sachets red berry (Vitaflo International Ltd),,,Powder,Oral,Ezetimibe/ACBS Products,August 2018,80020021,,,,,,,,,1,2120200
10206,2.40725001000e+17,89262020,3872,Simvastatin 80mg with ezetimibe 10mg tablet,Simvastatin/Ezetimibe,80mg + 10mg,Tablets,Oral,Ezetimibe/Statins,February 2009,13212001,,,,,,,,,1,2120200
6120,4495611000001102,76976020,121042,Ezetrol 10mg tablets (Merck Sharp & Dohme Ltd),Ezetimibe,10mg,Tablet,Oral,Ezetimibe,February 2009,7706001,,,,,,,,,0,2120200
10183,2.40715001000e+17,89260020,20784,Simvastatin 40mg with ezetimibe 10mg tablet,Simvastatin/Ezetimibe,40mg + 10mg,Tablets,Oral,Ezetimibe/Statins,February 2009,13211001,,,,,,,,,1,2120200
72383,3.51818110000e+16,80019021,25,PKU sphere15 oral powder 27g sachets vanilla (Vitaflo International Ltd),,,Powder,Oral,Ezetimibe/ACBS Products,June 2018,80019021,,,,,,,,,1,2120200
70038,3.40216110000e+16,75072021,98,PKU sphere20 oral powder 35g sachets (Flavour Not Specified),,,Powder,Oral,Ezetimibe/ACBS Products,September 2017,75072021,,,,,,,,,1,2120200
14219,414179004,89250020,8446,Simvastatin 80mg / Ezetimibe 10mg tablets,Ezetimibe/Simvastatin,10mg + 80mg,Tablet,Oral,Ezetimibe/Statins,February 2009,13205001,,,,,,,,,1,2120200
7552,414177002,89242020,21347,Simvastatin 20mg / Ezetimibe 10mg tablets,Simvastatin/Ezetimibe,20mg + 10mg,Tablet,Oral,Ezetimibe/Statins,February 2009,13201001,,,,,,,,,1,2120200
653,408060004,76979020,2591409,Ezetimibe 10mg tablets,Ezetimibe,10mg,Tablet,Oral,Ezetimibe,February 2009,7707001,,,,,,,,,0,2120200
69533,3.40206110000e+16,75070021,213,PKU sphere20 oral powder 35g sachets vanilla (Vitaflo International Ltd),,,Powder,Oral,Ezetimibe/ACBS Products,May 2017,75070021,,,,,,,,,1,2120200
17059,9310311000001108,89248020,11611,Inegy 10mg/40mg tablets (Merck Sharp & Dohme Ltd),Simvastatin/Ezetimibe,40mg + 10mg,Tablet,Oral,Ezetimibe/Statins,February 2009,13204001,,,,,,,,,1,2120200
78026,3.67793110000e+16,86293021,22,PKU sphere20 oral powder 35g sachets chocolate (Vitaflo International Ltd),,,Powder,Oral,Ezetimibe/ACBS Products,September 2019,86293021,,,,,,,,,1,2120200
10172,414178007,89246020,39127,Simvastatin 40mg / Ezetimibe 10mg tablets,Simvastatin/Ezetimibe,40mg + 10mg,Tablet,Oral,Ezetimibe/Statins,February 2009,13203001,,,,,,,,,1,2120200
69444,3.40209110000e+16,75071021,434,PKU sphere20 oral powder 35g sachets red berry (Vitaflo International Ltd),,,Powder,Oral,Ezetimibe/ACBS Products,May 2017,75071021,,,,,,,,,1,2120200
74161,3.54312110000e+16,80577021,0,Ezetimibe 10mg tablets (Mylan),Ezetimibe,10mg,Tablet,Oral,Ezetimibe,December 2018,80577021,,,,,,,,,0,2120200
11815,2.40705001000e+17,89258020,10254,Simvastatin 20mg with ezetimibe 10mg tablet,Simvastatin/Ezetimibe,20mg + 10mg,Tablets,Oral,Ezetimibe/Statins,February 2009,13210001,,,,,,,,,1,2120200
