prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
2284,6.98650010000e+16,56850020,15669,Diamox sr 250mg Capsule (Wyeth Pharmaceuticals),Acetazolamide,250mg,Modified-release capsule,Oral,Carbonic Anhydrase Inhibitors/Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma),February 2009,2217001,,,,,,,,,1,2020700
26962,4370711000001104,78829020,4,Diamox Sodium Parenteral 500mg powder for solution for injection vials (Advanz Pharma),Acetazolamide,500mg,Powder for solution for injection,Intramuscular/Intravenous,Carbonic Anhydrase Inhibitors,February 2009,8356001,,,,,,,,,0,2020700
67707,7843411000001108,8679020,0,Acetazolamide 250mg tablets (Alliance Healthcare (Distribution) Ltd),Acetazolamide,250mg,Tablet,Oral,Carbonic Anhydrase Inhibitors,September 2016,8679020,,,,,,,,,0,2020700
79630,1.16527110000e+16,29521020,1,Acetazolamide 40mg/5ml oral solution,Acetazolamide,8mg/1ml,Oral solution,Oral,Carbonic Anhydrase Inhibitors,January 2020,29521020,,,,,,,,,0,2020700
58091,8269411000001100,18848020,63,Acetazolamide 125mg/5ml oral solution,Acetazolamide,25mg/1ml,Oral solution,Oral,Carbonic Anhydrase Inhibitors,December 2013,18848020,,,,,,,,,0,2020700
69077,8269311000001107,18846020,39,Acetazolamide 100mg/5ml oral suspension,Acetazolamide,20mg/1ml,Oral suspension,Oral,Carbonic Anhydrase Inhibitors,April 2017,18846020,,,,,,,,,0,2020700
5893,801011000001107,52414020,10957,Diamox 250mg tablets (Advanz Pharma),Acetazolamide,250mg,Tablet,Oral,Carbonic Anhydrase Inhibitors,February 2009,1071001,,,,,,,,,0,2020700
2551,330601002,59941020,103814,Acetazolamide 250mg tablets,Acetazolamide,250mg,Tablet,Oral,Carbonic Anhydrase Inhibitors,February 2009,3011001,,,,,,,,,0,2020700
61674,8270711000001109,18865020,41,Acetazolamide 250mg/5ml oral solution,Acetazolamide,50mg/1ml,Oral solution,Oral,Carbonic Anhydrase Inhibitors,November 2014,18865020,,,,,,,,,0,2020700
3265,5.34850010000e+16,54723020,21170,Diamox 250mg Tablet (Wyeth Pharmaceuticals),Acetazolamide,250mg,Tablet,Oral,Carbonic Anhydrase Inhibitors/Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma),February 2009,1671001,,,,,,,,,1,2020700
20855,9.37850010000e+16,59943020,111,Acetazolamide 40mg/ml oral solution,Acetazolamide,40mg/ml,Syrup,Oral,Carbonic Anhydrase Inhibitors/Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma),February 2009,3011003,,,,,,,,,1,2020700
15347,4377611000001107,59951020,274,Acetazolamide 500mg powder for solution for injection vials,Acetazolamide,500mg,Powder for solution for injection,Intramuscular/Intravenous,Carbonic Anhydrase Inhibitors,February 2009,3013001,,,,,,,,,0,2020700
72171,3.33822110000e+16,70387021,0,Acetazolamide 250mg tablets (Teva UK Ltd),Acetazolamide,250mg,Tablet,Oral,Carbonic Anhydrase Inhibitors,May 2018,70387021,,,,,,,,,0,2020700
35399,8270911000001106,91838020,345,Acetazolamide 250mg/5ml oral suspension,Acetazolamide,50mg/1ml,Oral suspension,Oral,Carbonic Anhydrase Inhibitors,February 2009,14513001,,,,,,,,,0,2020700
55556,8.78550010000e+16,59118020,22,Acetazolamide 40mg/ml Oral solution (Martindale Pharmaceuticals Ltd),Acetazolamide,40mg/ml,Oral Solution,,Carbonic Anhydrase Inhibitors/Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma),June 2013,2814009,,,,,,,,,1,2020700
29497,8269511000001101,89958020,219,Acetazolamide 125mg/5ml oral suspension,Acetazolamide,25mg/1ml,Oral suspension,Oral,Carbonic Anhydrase Inhibitors,February 2009,13570001,,,,,,,,,0,2020700
75616,2.05365110000e+16,41410020,1,Acetazolamide 250mg tablets (Advanz Pharma),Acetazolamide,250mg,Tablet,Oral,Carbonic Anhydrase Inhibitors,April 2019,41410020,,,,,,,,,0,2020700
71248,8269211000001104,18844020,6,Acetazolamide 100mg/5ml oral solution,Acetazolamide,20mg/1ml,Oral solution,Oral,Carbonic Anhydrase Inhibitors,January 2018,18844020,,,,,,,,,0,2020700
25138,5.34950010000e+16,54724020,0,Diamox 500mg/vial Sodium injection (Wyeth Pharmaceuticals),Acetazolamide,500mg,Powder for solution for injection,Intramuscular/Intravenous,Carbonic Anhydrase Inhibitors/Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma),February 2009,1671002,,,,,,,,,1,2020700
34206,9.38050010000e+16,59947020,83,Acetazolamide 500mg modified-release capsules,Acetazolamide,500mg,Modified-Release Tablet,Oral,Carbonic Anhydrase Inhibitors/Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma),February 2009,3012001,,,,,,,,,1,2020700
8817,7585001000027105,48952020,3653,Diamox sustets 500 500mg Sustets (Wyeth Pharmaceuticals),Acetazolamide,500mg,Sustets,Oral,Carbonic Anhydrase Inhibitors/Carbonic Anhydrase Inhibitors And Systemic Drugs (In Glaucoma),February 2009,237001,,,,,,,,,1,2020700
68144,9703811000001108,72182020,1,Acetazolamide 250mg tablets (A A H Pharmaceuticals Ltd),Acetazolamide,250mg,Tablet,Oral,Carbonic Anhydrase Inhibitors,November 2016,6290009,,,,,,,,,0,2020700
