prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
79092,2.97836110000e+16,52591021,2,Clobetasol 0.05% cream 10% in Unguentum M cream (Special Order),Clobetasol propionate,50microgram/1gram,Cream,Route of administration not applicable,Topical Corticosteroids/Very Potent Topical Corticosteroids,December 2019,52591021,,,,,,,,,1,13040500
41388,2.40155001000e+17,88843020,11,Clobetasol propionate 25% ointment with coal tar solution 5% in white soft paraffin,Clobetasol Propionate/Coal Tar Solution,25% + 5%,Ointment,Topical,Very Potent Topical Corticosteroids/Preparations For Psoriasis,March 2010,12999001,,,,,,,,,1,13040500
12727,331908000,62511020,1462,Diflucortolone 0.3% ointment,Diflucortolone valerate,3mg/1gram,Ointment,Cutaneous,Topical Corticosteroids/Very Potent Topical Corticosteroids,February 2009,3613002,,,,,,,,,1,13040500
21580,1.02647110000e+16,90686020,4857,Clarelux 500micrograms/g foam (Pierre Fabre Dermo-Cosmetique),Clobetasol propionate,500microgram/1gram,Foam,Cutaneous,Topical Corticosteroids/Very Potent Topical Corticosteroids,February 2009,13935001,,,,,,,,,1,13040500
1955,5.19550010000e+16,54505020,30069,Dermovate -nn Ointment (Glaxo Laboratories Ltd),Neomycin Sulphate/Clobetasol Propionate/Nystatin,,Ointment,Topical,Very Potent Topical Corticosteroids/Antibacterial Preparations Only Used Topically,February 2009,1621002,,,,,,,,,1,13040500
2212,107011000001109,54501020,87938,Dermovate 0.05% scalp application (GlaxoSmithKline UK Ltd),Clobetasol propionate,500microgram/1gram,Liquid,Cutaneous,Topical Corticosteroids/Very Potent Topical Corticosteroids,February 2009,1620001,,,,,,,,,1,13040500
48849,2.04503110000e+16,41425020,12,Dermovate 0.05% ointment (Waymade Healthcare Plc),Clobetasol propionate,500microgram/1gram,Ointment,Cutaneous,Very Potent Topical Corticosteroids,January 2013,41425020,,,,,,,,,0,13040500
1682,346938005,61435020,303804,Clobetasol 0.05% cream,Clobetasol propionate,500microgram/1gram,Cream,Cutaneous,Topical Corticosteroids/Very Potent Topical Corticosteroids,February 2009,3352001,,,,,,,,,1,13040500
45314,2.40135001000e+17,88817020,5,Salicylic acid 5% with propylene glycol in clobetasol propionate 47.5% cream,Propylene Glycol/Salicylic Acid/Clobetasol Propionate,5% + 47.5%,Cream,Topical,Very Potent Topical Corticosteroids/Preparations For Psoriasis,May 2011,12986001,,,,,,,,,1,13040500
50623,1.42240110000e+16,9440020,1,Dermovate 0.05% cream (Sigma Pharmaceuticals Plc),Clobetasol propionate,500microgram/1gram,Cream,Cutaneous,Topical Corticosteroids/Very Potent Topical Corticosteroids,January 2013,9440020,,,,,,,,,1,13040500
