prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
39563,1.46877110000e+16,96081020,10,Ratiograstim 30million units/0.5ml solution for injection pre-filled syringes (Teva UK Ltd),Filgrastim,60mega unit/1ml,Solution for injection,Intravenous/Subcutaneous,Drugs Used In Neutropenia,May 2009,16654001,,,,,,,,,0,9010600
31259,1.96575001000e+17,75285020,2,Granocyte -13 i 13.4 million iu(105mcg) /vial Obsolete - Injection (Aventis Pharma),Lenograstim,13.4mega unit,Powder and solvent for solution for injection,Subcutaneous/Intravenous,Drugs Used In Neutropenia,February 2009,7180002,,,,,,,,,0,9010600
21788,4483211000001104,78464020,118,Filgrastim 30million units/0.5ml solution for injection pre-filled syringes,Filgrastim,60mega unit/1ml,Solution for injection,Intravenous/Subcutaneous,Drugs Used In Neutropenia,February 2009,8223001,,,,,,,,,0,9010600
80460,3.56113110000e+16,81691021,1,Lenograstim 33.6million unit powder and solvent for solution for injection pre-filled syringes,Lenograstim,33.6mega unit,Powder and solvent for solution for injection,Intravenous/Subcutaneous,Drugs Used In Neutropenia,April 2020,81691021,,,,,,,,,0,9010600
35844,4925001000027100,48610020,47,Pegfilgrastim 6mg/0.6ml injection,Pegfilgrastim,6mg/0.6ml,Injection,Subcutaneous Injection,Drugs Used In Neutropenia,February 2009,157001,,,,,,,,,0,9010600
31225,1.99865001000e+17,76098020,1,Leucomax 400microgram Injection (Novartis Pharmaceuticals UK Ltd),Molgramostim,400microgram,Powder and solvent for solution for injection,Intravenous/Subcutaneous,Drugs Used In Neutropenia,February 2009,7409001,,,,,,,,,0,9010600
78068,1.74437110000e+16,98787020,2,Nivestim 48million units/0.5ml solution for injection pre-filled syringes (Pfizer Ltd),Filgrastim,96mega unit/1ml,Solution for injection,Intravenous/Subcutaneous,Drugs Used In Neutropenia,October 2019,18032001,,,,,,,,,0,9010600
30307,4468911000001100,85190020,180,Neupogen Singleject 30million units/0.5ml solution for injection pre-filled syringes (Amgen Ltd),Filgrastim,60mega unit/1ml,Solution for injection,Intravenous/Subcutaneous,Drugs Used In Neutropenia,February 2009,11257001,,,,,,,,,0,9010600
56882,1.99532110000e+16,97365020,4,Zarzio 48million units/0.5ml solution for injection pre-filled syringes (Sandoz Ltd),Filgrastim,96mega unit/1ml,Solution for injection,Intravenous/Subcutaneous,Drugs Used In Neutropenia,August 2013,17311001,,,,,,,,,0,9010600
50491,3.60267110000e+16,10753020,26,Pegfilgrastim 6mg/0.6ml solution for injection pre-filled syringes,Pegfilgrastim,10mg/1ml,Solution for injection,Subcutaneous,Drugs Used In Neutropenia,January 2013,10753020,,,,,,,,,0,9010600
