prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
76429,1.74274110000e+16,8648020,0,Rapitil 2% eye drops (Mawdsley-Brooks & Company Ltd),Nedocromil sodium,20mg/1ml,Eye drops,Ocular,Other Anti-Inflammatory Eye Preparations (For The Eye),May 2019,8648020,,,,,,,,,0,11040200
2422,397611000001105,54692020,71793,Alomide 0.1% eye drops (Novartis Pharmaceuticals UK Ltd),Lodoxamide trometamol,1mg/1ml,Eye drops,Ocular,Other Anti-Inflammatory Eye Preparations (For The Eye),February 2009,1664001,,,,,,,,,0,11040200
72790,3.52061110000e+16,80068021,54,Ketofall 0.25mg/ml eye drops 0.4ml unit dose (Scope Ophthalmics Ltd),Ketotifen hydrogen fumarate,250microgram/1ml,Eye drops,Ocular,Other Anti-Inflammatory Eye Preparations (For The Eye),August 2018,80068021,,,,,,,,,0,11040200
25756,2.19535001000e+17,82303020,4,Eye dew Eye drops (Crookes Healthcare Ltd),Hamamelis water/Naphazoline hydrochloride,125microlitre/1ml + 100microgram/1ml,Eye drops,Ocular,Other Anti-Inflammatory Eye Preparations (For The Eye),February 2009,9949001,,,,,,,,,0,11040200
65868,3.07404110000e+16,57423021,583,ODM5 5% eye drops preservative free (Kestrel Ophthalmics Ltd),Sodium chloride,50mg/1ml,Eye drops,Ocular,Other Anti-Inflammatory Eye Preparations (For The Eye),April 2016,57423021,,,,,,,,,0,11040200
40157,3698811000001106,50863020,27,Zinc sulfate 0.25% eye drops (Martindale Pharmaceuticals Ltd),Zinc sulfate,2.5mg/1ml,Eye drops,Ocular,Other Anti-Inflammatory Eye Preparations (For The Eye),August 2009,681009,,,,,,,,,0,11040200
15476,2.17435001000e+17,81749020,220,Optrex hayfever Eye drops (Crookes Healthcare Ltd),Sodium cromoglicate,20mg/1ml,Eye drops,Ocular,Other Anti-Inflammatory Eye Preparations (For The Eye),February 2009,9699001,,,,,,,,,0,11040200
14431,1.31385001000e+17,65327020,955,Tanderil 10% Eye ointment (Novartis Ophthalmics),Oxyphenbutazone/Wool Fat,10%,Eye Ointment,Ocular,Other Anti-Inflammatory Eye Preparations (For The Eye),February 2009,4353001,,,,,,,,,0,11040200
7173,490911000001105,87073020,2735,Optrex Allergy 2% eye drops (Reckitt Benckiser Healthcare (UK) Ltd),Sodium cromoglicate,20mg/1ml,Eye drops,Ocular,Other Anti-Inflammatory Eye Preparations (For The Eye),February 2009,12105001,,,,,,,,,0,11040200
17470,2.17615001000e+17,81787020,54,Optrex clear eye Eye drops (Crookes Healthcare Ltd),Hamamelis water/Naphazoline hydrochloride,125microlitre/1ml + 100microgram/1ml,Eye drops,Ocular,Other Anti-Inflammatory Eye Preparations (For The Eye),February 2009,9717001,,,,,,,,,0,11040200
13062,3685711000001106,74690020,5246,Emadine 0.5mg/ml eye drops (Alcon Eye Care Ltd),Emedastine difumarate,500microgram/1ml,Eye drops,Ocular,Other Anti-Inflammatory Eye Preparations (For The Eye),February 2009,7014001,,,,,,,,,0,11040200
