prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
2206,2993111000001103,84028020,127858,Twinrix Adult vaccine suspension for injection 1ml pre-filled syringes (GlaxoSmithKline UK Ltd),Hepatitis B virus surface antigen/Hepatitis A virus inactivated, + ,Suspension for injection,Subcutaneous/Intramuscular,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,10727001,,,,,,,,,0,14040000
49318,8100611000001109,18792020,166,Diphtheria / Tetanus / Pertussis (acellular component) / Poliomyelitis (inactivated) / Haemophilus type b conjugate vaccine (adsorbed) suspension for injection 0.5ml vials,Human poliovirus type 1 inactivated/Haemophilus influenzae type b polysaccharide protein conjugate/Human poliovirus type 3 inactivated/Human poliovirus type 2 inactivated/Pertussis antigens/Tetanus toxoid/Diphtheria toxoid, +  +  +  +  +  + ,Suspension for injection,Intramuscular,Immunological Products And Vaccines - Vaccines And Antisera,January 2013,18792020,,,,,,,,,0,14040000
52896,1.79923110000e+16,37661020,2274,Rotarix vaccine live oral suspension 1.5ml pre-filled syringes (GlaxoSmithKline UK Ltd),Human rotavirus RIX4414 strain live attenuated,,Oral suspension,Oral,Immunological Products And Vaccines - Vaccines And Antisera,January 2013,37661020,,,,,,,,,0,14040000
51275,1.37568110000e+16,35147020,7,Japanese encephalitis vaccine solution for injection 10ml vials,Japanese encephalitis virus,,Solution for injection,Subcutaneous,Immunological Products And Vaccines - Vaccines And Antisera,January 2013,35147020,,,,,,,,,0,14040000
51965,2990211000001104,9645020,189,Engerix B 10micrograms/0.5ml vaccine suspension for injection vials (GlaxoSmithKline UK Ltd),Hepatitis B virus surface antigen,20microgram/1ml,Suspension for injection,Intramuscular/Subcutaneous,Immunological Products And Vaccines - Vaccines And Antisera/Vaccines And Antisera - Hepatitis B Vaccine,January 2013,9645020,,,,,,,,,1,14040000
842,1.99205001000e+17,75922020,64131,Tetanus adsorbed bp Vaccination (Aventis Pasteur MSD),Tetanus toxoid,,Suspension for injection,Intramuscular/Subcutaneous,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,7360001,,,,,,,,,0,14040000
11944,1.85155001000e+17,73166020,37866,Tetavax Adsorbed vaccination (Aventis Pasteur MSD),Tetanus toxoid,,Suspension for injection,Intramuscular/Subcutaneous,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,6580001,,,,,,,,,0,14040000
337,4.38850010000e+16,53537020,35607,Cholera Vaccination (Celltech Pharma Europe Ltd),Vibro Cholerae - Killed - Serotypes Ogawa + Inaba,,Vaccination,,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,1366001,,,,,,,,,0,14040000
9450,1.98715001000e+17,75766020,12784,Hepatitis A 720 units/0.5ml single dose Vaccination,Hepatitis A Virus Inactivated,720 units/0.5ml,Vaccination,Intramuscular Deep Injection Deltoid Muscle,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,7315002,,,,,,,,,0,14040000
34114,2987111000001105,63263020,398,Rabies vaccine powder and solvent for suspension for injection 1ml vials (Sanofi Pasteur),Rabies virus inactivated,,Powder and solvent for suspension for injection,Intramuscular,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,3790009,,,,,,,,,0,14040000
1350,2.32055001000e+17,85856020,4860,Hepatitis a single dose 52 unit/ml Vaccination,Hepatitis A Virus Inactivated,52 unit/ml,Vaccination,,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,11554002,,,,,,,,,0,14040000
19504,333607004,90855020,2688,Rabies vaccine powder and solvent for suspension for injection 1ml vials,Rabies virus inactivated,,Powder and solvent for suspension for injection,Intramuscular,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,14020001,,,,,,,,,0,14040000
18920,8.84950010000e+16,59211020,12,Diphtheria test,Thiomersal/Corynebacterium Pseudodiphteriticum,,Test,,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,2838001,,,,,,,,,0,14040000
38025,2.42725001000e+17,90833020,33,Rotavirus oral Vaccine,Human Rotavirus RIX4414 Strain Live Attenuated,,Oral Vaccine,Oral,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,14009001,,,,,,,,,0,14040000
25157,7.83650010000e+16,58020020,18,Mumpsvax Vaccination (Aventis Pasteur MSD),Neomycin/Mumps Virus Live Attenuated,,Vaccination,,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,2511001,,,,,,,,,0,14040000
2089,1.89165001000e+17,73803020,71213,Diphtheria and tetanus adsorbed vaccination,Aluminium Hydroxide/Corynebacterium Diphtheriae Toxoid/Clostridium Tetani Toxoid + Mineral Carrier/Thiomersal,,Vaccine,,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,6760001,,,,,,,,,0,14040000
31966,9904411000001100,90633020,286,Haemophilus type b / Meningococcal C conjugate vaccine powder and solvent for solution for injection 0.5ml vials,Neisseria meningitidis group C strain C11 capsular polysaccharide tetanus toxoid conjugate/Haemophilus influenzae type b polysaccharide tetanus toxoid conjugate, + ,Powder and solvent for solution for injection,Intramuscular,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,13908001,,,,,,,,,0,14040000
1359,8165711000001106,71240020,55002,Rabies vaccine powder and solvent for solution for injection 1ml vials,Rabies virus inactivated,,Powder and solvent for solution for injection,Intramuscular,Immunological Products And Vaccines - Vaccines And Antisera,February 2009,6011001,,,,,,,,,0,14040000
