prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
28668,3958111000001108,77300020,57,Chlorobutanol 1% tincture,Chlorobutanol,10mg/1ml,Liquid,Buccal,Drugs For Oral Ulceration And Inflammation,February 2009,07823001,,,,,,,,,0,12030100
14920,2.18405001000e+17,81983020,165,Rinstead adult Gel (Merck Sharp & Dohme Ltd),Benzocaine/Chloroxylenol,20mg/1gram + 1.06mg/1gram,Oromucosal gel,Oromucosal,Drugs For Oral Ulceration And Inflammation,February 2009,09809002,,,,,,,,,0,12030100
13449,3988611000001109,71879020,1215,Pyralvex solution (Mylan),Rhubarb extract/Salicylic acid,50mg/1ml + 10mg/1ml,Paint,Oromucosal,Drugs For Oral Ulceration And Inflammation,February 2009,06206001,,,,,,,,,0,12030100
21150,3756011000001103,80392020,7783,Strefen Honey and Lemon 8.75mg lozenges (Reckitt Benckiser Healthcare (UK) Ltd),Flurbiprofen,8.75mg,Lozenge,Oromucosal,Drugs For Oral Ulceration And Inflammation,February 2009,09045001,,,,,,,,,0,12030100
39158,2.13295001000e+17,80305020,4,Bonjela antiseptic Pastille (Reckitt Benckiser Healthcare (UK) Ltd),Lidocaine hydrochloride/Aminoacridine hydrochloride,2.5mg/1gram + 250microgram/1gram,Pastille,Oromucosal,Drugs For Oral Ulceration And Inflammation,April 2009,09001001,,,,,,,,,0,12030100
2752,531611000001106,64137020,433578,Difflam 0.15% spray (Mylan),Benzydamine hydrochloride,1.5mg/1ml,Spray,Oromucosal,Drugs For Oral Ulceration And Inflammation,February 2009,04028001,,,,,,,,,0,12030100
37145,1.06822110000e+16,91215020,17,Strepsils Sore Throat and Blocked Nose lozenges (Reckitt Benckiser Healthcare (UK) Ltd),Amylmetacresol/Dichlorobenzyl alcohol/Levomenthol,600microgram + 1.2mg + 8mg,Lozenge,Oromucosal,Drugs For Oral Ulceration And Inflammation,February 2009,14200001,,,,,,,,,0,12030100
67512,2.80495110000e+16,43073021,6,Hydrocortisone 4mg pastilles,Hydrocortisone,4mg,Pastille,Oromucosal,Drugs For Oral Ulceration And Inflammation,September 2016,43073021,,,,,,,,,0,12030100
10216,155611000001102,90819020,12514,Adcortyl In Orabase for Mouth Ulcer 0.1% oromucosal paste (Bristol-Myers Squibb Pharmaceuticals Ltd),Triamcinolone acetonide,1mg/1gram,Paste,Oromucosal,Drugs For Oral Ulceration And Inflammation,February 2009,14002001,,,,,,,,,0,12030100
51767,8989911000001105,13688020,130,Strepsils Strawberry lozenges sugar free (Reckitt Benckiser Healthcare (UK) Ltd),Amylmetacresol/Dichlorobenzyl alcohol,600microgram + 1.2mg,Lozenge,Oromucosal,Drugs For Oral Ulceration And Inflammation,January 2013,13688020,,,,,,,,,0,12030100
7739,9.63650010000e+16,60415020,1099,Carbenoxolone sodium 2% w/v gel,Carbenoxolone Sodium,2% w/v,Gel,Oromucosal,Other Ulcer Healing Drugs/Drugs For Oral Ulceration And Inflammation,February 2009,03121002,,,,,,,,,1,12030100
46280,1.78722110000e+16,77631020,3,Hydrocortisone 2.5mg muco-adhesive buccal tablets sugar free (Accord Healthcare Ltd),Hydrocortisone sodium succinate,2.5mg,Muco-adhesive buccal tablet,Oromucosal,Drugs For Oral Ulceration And Inflammation,October 2011,07935009,,,,,,,,,0,12030100
73008,2.04554110000e+16,41732020,2,Lidocaine 1% / Hydrocortisone 0.1% mouthwash,Hydrocortisone/Lidocaine hydrochloride,1mg/1gram + 10mg/1gram,Mouthwash,Oromucosal,Drugs For Oral Ulceration And Inflammation/Mouth-Washes, Gargles, And Dentifrices,September 2018,41732020,,,,,,,1,12030100
11913,331263003,64351020,1741,Lidocaine 0.33% / Cetylpyridinium chloride 0.1% oromucosal gel sugar free,Lidocaine hydrochloride/Cetylpyridinium chloride,3.3mg/1gram + 1mg/1gram,Oromucosal gel,Gingival,Drugs For Oral Ulceration And Inflammation,February 2009,04087001,,,,,,,,,0,12030100
38295,8064311000001102,86238020,2,Clove oil 10% / Lidocaine 0.7% dental liquid sugar free,Clove oil/Lidocaine hydrochloride,100mg/1gram + 7mg/1gram,Liquid,Dental,Drugs For Oral Ulceration And Inflammation,February 2009,11723001,,,,,,,,,0,12030100
1186,1.71475001000e+17,70969020,11843,Orahesive Powder (ConvaTec Ltd),Carmellose Sodium,,Powder,Oromucosal,Drugs For Oral Ulceration And Inflammation/-,February 2009,05930001,,,,,,,,,1,12030100
33609,7969411000001109,81923020,5,Cetylpyridinium chloride 1.28mg/g / Menthol 330micrograms/g pastilles sugar free,Cetylpyridinium chloride/Menthol,1.28mg/1gram + 330microgram/1gram,Pastille,Oral,Drugs For Oral Ulceration And Inflammation,February 2009,09780002,,,,,,,,,0,12030100
74574,3.58242110000e+16,82249021,29,Budesonide 1mg orodispersible tablets sugar free,Budesonide,1mg,Orodispersible tablet,Oral,Drugs For Oral Ulceration And Inflammation,February 2019,82249021,,,,,,,,,0,12030100
9616,1.71405001000e+17,70961020,948,Carmellose sodium oral paste,Carmellose Sodium,,Oral Paste,Oromucosal,Drugs For Oral Ulceration And Inflammation/-,February 2009,05928001,,,,,,,,,1,12030100
18041,3959411000001106,83609020,168,Periostat 20mg tablets (Alliance Pharmaceuticals Ltd),Doxycycline hyclate,20mg,Tablet,Oral,Drugs For Oral Ulceration And Inflammation,February 2009,10532001,,,,,,,,,0,12030100
52782,1.17642110000e+16,29982020,29,Lidocaine 0.6% / Cetylpyridinium chloride 0.02% oromucosal gel,Lidocaine/Cetylpyridinium chloride,6mg/1gram + 200microgram/1gram,Oromucosal gel,Oromucosal/Gingival,Drugs For Oral Ulceration And Inflammation,January 2013,29982020,,,,,,,,,0,12030100
21782,8109811000001104,82096020,88,Clove oil 20% dental gel sugar free,Clove oil,200mg/1gram,Dental gel,Dental,Drugs For Oral Ulceration And Inflammation,February 2009,09858002,,,,,,,,,0,12030100
49298,3729411000001104,13466020,105,Strepsils Honey and Lemon lozenges (Reckitt Benckiser Healthcare (UK) Ltd),Dichlorobenzyl alcohol/Amylmetacresol,1.2mg + 600microgram,Lozenge,Oromucosal,Drugs For Oral Ulceration And Inflammation,January 2013,13466020,,,,,,,,,0,12030100
21607,9.64050010000e+16,60418020,18,Carbenoxolone sodium 50mg tablets,Carbenoxolone Sodium,50mg,Tablets,Oral,Other Ulcer Healing Drugs/Drugs For Oral Ulceration And Inflammation,February 2009,03122001,,,,,,,,,1,12030100
5395,737011000001105,83455020,44060,Difflam 0.15% Sore Throat Rinse (Mylan),Benzydamine hydrochloride,1.5mg/1ml,Mouthwash,Oromucosal,Drugs For Oral Ulceration And Inflammation,February 2009,10459001,,,,,,,,,0,12030100
68334,2.15116110000e+16,45487020,1,Benzydamine 0.15% mouthwash sugar free (Teva UK Ltd),Benzydamine hydrochloride,1.5mg/1ml,Mouthwash,Oromucosal,Drugs For Oral Ulceration And Inflammation,December 2016,45487020,,,,,,,,,0,12030100
15410,6.51150010000e+16,56203020,35,Duogastrone 50mg Capsule (Sanofi-Synthelabo Ltd),Carbenoxolone Sodium,50mg,Capsule,Oral,Other Ulcer Healing Drugs/Drugs For Oral Ulceration And Inflammation,February 2009,02059001,,,,,,,,,1,12030100
20355,5173511000001102,77869020,27,Clove oil liquid,Clove oil,1ml/1ml,Liquid,Dental,Drugs For Oral Ulceration And Inflammation,February 2009,08016001,,,,,,,,,0,12030100
