prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
3728,3605811000001104,75055020,1158,Zovirax Double Strength 400mg/5ml oral suspension (GlaxoSmithKline UK Ltd),Aciclovir,80mg/1ml,Oral suspension,Oral,Herpes Simplex And Varicella-Zoster Infection,February 2009,7119001,,,,,,,,,0,5030201
34398,7.93050010000e+16,58127020,5,Aciclovir 800mg Tablet (Genus Pharmaceuticals Ltd),Aciclovir,800mg,Tablet,Oral,Herpes Simplex And Varicella-Zoster Infection,February 2009,2543011,,,,,,,,,0,5030201
69236,1.50600110000e+16,13377020,0,Aciclovir 400mg/5ml oral suspension sugar free (Sigma Pharmaceuticals Plc),Aciclovir,80mg/1ml,Oral suspension,Oral,Herpes Simplex And Varicella-Zoster Infection,April 2017,13377020,,,,,,,,,0,5030201
33717,324735006,72734020,2,Aciclovir 500mg powder for solution for infusion vials,Aciclovir sodium,500mg,Powder for solution for infusion,Intravenous,Herpes Simplex And Varicella-Zoster Infection,February 2009,6449001,,,,,,,,,0,5030201
1042,324729006,60000020,327949,Aciclovir 400mg tablets,Aciclovir,400mg,Tablet,Oral,Herpes Simplex And Varicella-Zoster Infection,February 2009,3025002,,,,,,,,,0,5030201
4766,3.58923110000e+16,60001020,25973,Aciclovir 200mg/5ml oral suspension sugar free,Aciclovir,40mg/1ml,Oral suspension,Oral,Herpes Simplex And Varicella-Zoster Infection,February 2009,3025003,,,,,,,,,0,5030201
974,324726004,59999020,365245,Aciclovir 200mg tablets,Aciclovir,200mg,Tablet,Oral,Herpes Simplex And Varicella-Zoster Infection,February 2009,3025001,,,,,,,,,0,5030201
21745,756711000001105,53305020,375,Symmetrel 50mg/5ml syrup (Alliance Pharmaceuticals Ltd),Amantadine hydrochloride,10mg/1ml,Oral solution,Oral,Dopaminergic Drugs Used In Parkinson's Disease/Dystonias/Herpes Simplex And Varicella-Zoster Infection/Influenza,February 2009,1311001,,,,,,,,,2,5030201
66799,586211000001105,52975020,2,Ranovir 200mg tablets (Ranbaxy (UK) Ltd),Aciclovir,200mg,Tablet,Oral,Herpes Simplex And Varicella-Zoster Infection,July 2016,1218001,,,,,,,,,0,5030201
74655,1.01075001000e+17,61184020,3,Aciclovir 400mg Dispersible tablet (Genus Pharmaceuticals Ltd),Aciclovir,400mg,Dispersible tablet,Oral,Herpes Simplex And Varicella-Zoster Infection,February 2019,3295010,,,,,,,,,0,5030201
43323,3072911000001104,59002020,5,Aciclovir 400mg dispersible tablets (Ranbaxy (UK) Ltd),Aciclovir,400mg,Dispersible tablet,Oral,Herpes Simplex And Varicella-Zoster Infection,September 2010,2787010,,,,,,,,,0,5030201
