prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
53982,2.14954110000e+16,46188020,133475,Seebri Breezhaler 44microgram inhalation powder capsules with device (Novartis Pharmaceuticals UK Ltd),Glycopyrronium bromide,55microgram,Inhalation powder,Inhalation,Antimuscarinic Bronchodilators,March 2013,46188020,,,,,,,,,0,3010200
40637,9039611000001104,96091020,710,Ipratropium 250micrograms/1ml nebuliser liquid unit dose Steripoule vials (Galen Ltd),Ipratropium bromide,250microgram/1ml,Nebuliser liquid,Inhalation,Antimuscarinic Bronchodilators,October 2009,16659001,,,,,,,,,0,3010200
34995,3378211000001106,92697020,194997,Spiriva 18microgram inhalation powder capsules with HandiHaler (Boehringer Ingelheim Ltd),Tiotropium bromide,18microgram,Inhalation powder,Inhalation,Antimuscarinic Bronchodilators,February 2009,14947001,,,,,,,,,0,3010200
1415,1.98915001000e+17,75830020,30219,Steri-neb ipratropium 250microgram/ml Nebuliser liquid (IVAX Pharmaceuticals UK Ltd),Ipratropium Bromide,250microgram/ml,Nebuliser Liquid,Nebulised,Antimuscarinic Bronchodilators,February 2009,7334001,,,,,,,,,0,3010200
30229,1.58515001000e+17,69142020,9,Ipratropium bromide 250microgram/ml Nebuliser liquid (Galen Ltd),Ipratropium bromide,250microgram/1ml,Nebuliser liquid,Inhalation,Antimuscarinic Bronchodilators,February 2009,5411009,,,,,,,,,0,3010200
79675,1.58545001000e+17,69145020,12,Ipratropium bromide 500microgram/2ml Nebuliser liquid (Galen Ltd),Ipratropium bromide,250microgram/1ml,Nebuliser liquid,Inhalation,Antimuscarinic Bronchodilators,January 2020,5412009,,,,,,,,,0,3010200
51967,1.81550110000e+16,21580020,1,Spiriva 18microgram inhalation powder capsules (Mawdsley-Brooks & Company Ltd),Tiotropium bromide,18microgram,Inhalation powder,Inhalation,Antimuscarinic Bronchodilators,January 2013,21580020,,,,,,,,,0,3010200
79158,3.76927110000e+16,89978021,363,Tiotropium bromide 2.5micrograms/dose inhalation solution cartridge CFC free,Tiotropium bromide,2.5microgram/1dose,Inhalation solution,Inhalation,Antimuscarinic Bronchodilators,December 2019,89978021,,,,,,,,,0,3010200
12822,2.12655001000e+17,80090020,16180,Salbutamol 2.5mg with ipratropium bromide 500micrograms/2.5ml unit dose nebuilser solution,Salbutamol Sulphate/Ipratropium Bromide,2.5mg + 500micrograms/2.5ml,Unit Dose Nebulising Solution,Nebulised,Selective Beta 2 Agonists/Antimuscarinic Bronchodilators,February 2009,8892001,,,,,,,,,1,3010200
68530,3.35963110000e+16,71062021,9663,Tiotropium bromide 10microgram inhalation powder capsules with device,Tiotropium bromide,10microgram,Inhalation powder,Inhalation,Antimuscarinic Bronchodilators,January 2017,71062021,,,,,,,,,0,3010200
