prodcode,dmdcode,gemscriptcode,therapyevents,productname,ingredient,strength,formulation,routeofadministration,bnftext,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,slashcountinchapter,bnfchapter
78613,3.65871110000e+16,85302021,3,Aeon Protect 0.3% eye drops (Rayner Pharmaceuticals Ltd),,,,,Tear Deficiency, Ocular Lubricants, And Astringents/Eye Drop Sodium Hyaluronate,November 2019,85302021,,,,,,,1,71590600
79311,3.69507110000e+16,87605021,10,PF Drops Sodium Hyaluronate 0.4% eye drops preservative free (Aspire Pharma Ltd),,,Eye drops,Ocular,Eye Drop Sodium Hyaluronate,December 2019,87605021,,,,,,,,,0,71590600
78944,3.72752110000e+16,89075021,67,VisuXL eye drops 0.33ml unit dose preservative free (Visufarma UK Ltd),,,,,Tear Deficiency, Ocular Lubricants, And Astringents/Eye Drop Sodium Hyaluronate,December 2019,89075021,,,,,,,1,71590600
71219,3.37088110000e+16,73784021,9,Vizulize 0.1% eye drops (East Midlands Pharma Ltd),,,Eye drops,Ocular,Tear Deficiency, Ocular Lubricants, And Astringents/Eye Drop Sodium Hyaluronate,January 2018,73784021,,,,,,,1,71590600
43078,1.49361110000e+16,8742021,28687,Blink Intensive Tears 0.2% eye drops (AMO UK Ltd),Sodium Hyaluronate,,Eye drops,Ocular,Tear Deficiency, Ocular Lubricants, And Astringents/Eye Drop Sodium Hyaluronate,August 2010,26985005,,,,,,,1,71590600
72991,3.40490110000e+16,75640021,2,Generic Thealoz Duo Gel eye gel 0.4g unit dose preservative free,,,,,Eye Drop Sodium Hyaluronate,September 2018,75640021,,,,,,,,,0,71590600
43297,1.49382110000e+16,8744021,2651,Sodium hyaluronate 0.2% eye drops,Sodium Hyaluronate,0.2%,Eye drops,Ocular,Tear Deficiency, Ocular Lubricants, And Astringents/Eye Drop Sodium Hyaluronate,August 2010,26987005,,,,,,,1,71590600
70884,3.47144110000e+16,78420021,1350,VisuXL eye drops preservative free (Visufarma UK Ltd),,,Eye drops,Ocular,Tear Deficiency, Ocular Lubricants, And Astringents/Eye Drop Sodium Hyaluronate,December 2017,78420021,,,,,,,1,71590600
69665,3.40492110000e+16,75641021,1409,Thealoz Duo Gel eye gel 0.4g unit dose preservative free (Thea Pharmaceuticals Ltd),,,,,Eye Drop Sodium Hyaluronate,June 2017,75641021,,,,,,,,,0,71590600
46038,1.87163110000e+16,11300021,6954,Artelac Rebalance 0.15% eye drops (Bausch & Lomb UK Ltd),,,Eye drops,Ocular,Tear Deficiency, Ocular Lubricants, And Astringents/Eye Drop Sodium Hyaluronate,September 2011,29586005,,,,,,,1,71590600
38567,1.34426110000e+16,2107021,13438,Oxyal 0.15% eye drops (Bausch & Lomb UK Ltd),Sodium Hyaluronate,,Eye drops,Ocular,Tear Deficiency, Ocular Lubricants, And Astringents/Eye Drop Sodium Hyaluronate,February 2009,20287005,,,,,,,1,71590600
69376,3.37092110000e+16,73800021,105,Sodium hyaluronate 0.3% eye drops,,,,,Tear Deficiency, Ocular Lubricants, And Astringents/Eye Drop Sodium Hyaluronate,May 2017,73800021,,,,,,,1,71590600
38591,1.34545110000e+16,2125021,3131,Sodium hyaluronate 0.15% eye drops,Sodium Hyaluronate,0.15%,Eye drops,Ocular,Tear Deficiency, Ocular Lubricants, And Astringents/Eye Drop Sodium Hyaluronate,February 2009,20305005,,,,,,,1,71590600
72567,3.52795110000e+16,80243021,3384,Xailin HA 0.2% eye drops (Visufarma UK Ltd),,,Eye drops,Ocular,Tear Deficiency, Ocular Lubricants, And Astringents/Eye Drop Sodium Hyaluronate,July 2018,80243021,,,,,,,1,71590600
